0	S		4374398	ΔΙΠΛΩΜΑ ΙΣΟΤΙΜΟ ΜΕ ΠΤΥΧΙΟ ΑΕΙ (ΔΙΚΑΤΣΑ)	5
0	S		543	ΑΔΕΙΑ ΑΣΚΗΣΕΩΣ ΝΑΥΑΓΟΣΩΣΤΗ ΛΟΥΤΡ.ΕΓΚΑΤΑΣΤΑΣΕΩΝ	5
0	S		582	ΠΤΥΧΙΟ ΙΣΟΔΥΝΑΜΟ ΜΕ ΤΕΙ ΜΕ ΑΠΟΦΑΣΗ ΤΟΥ ΣΑΕΠ	4
0	S		662	ΠΤΥΧΙΟ ΑΝΑΓΝΩΡΙΣΜΕΝΟ ΑΠΟ ΤΟ ΣΑΕΠ	5
0	S		663	ΜΕΤΑΠΤΥΧΙΑΚΟ ΑΝΑΓΝΩΡΙΣΜΕΝΟ ΑΠΟ ΤΟ ΣΑΕΠ	6
0	S	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑ	4374046	ΠΤΥΧΙΟ ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ Α.Σ.Σ.Ε. Τ.Ε.Ι.	4
0	S	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑ	4374174	ΠΤΥΧΙΟ ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΒΙΒΛΙΟΓΡΑΦΙΑΣ	4
0	S	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑ	4374207	ΠΤΥΧΙΟ ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΤΕΙ	4
0	S	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑ	4374288	ΜΕΤΑΠΤΥΧΙΑΚΟ ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ	6
0	S	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑ	4374322	ΠΤΥΧΙΟ ΑΡΧΕΙΟΝΟΜΙΑΣ ΒΙΒΛ/ΜΙΑΣ	5
0	S	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑ	4374422	ΠΤΥΧΙΟ ΑΡΧΕΙΟΝΟΜΙΑΣ-ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ	5
